Date,Cases,Deaths,Daily cases,Daily deaths,Active cases (new),Active cases (old),Change in active cases,Recoveries (old),Recoveries (new)
15/2/2020,0,0,0,0,0,0,0,0,0
16/2/2020,0,0,0,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0,0,0,0
19/2/2020,2,2,2,2,0,0,0,0,0
20/2/2020,5,2,3,0,3,3,0,0,0
21/2/2020,18,4,13,2,14,14,0,0,0
22/2/2020,29,6,11,2,23,23,0,0,0
23/2/2020,43,8,14,2,34,34,0,1,1
24/2/2020,61,12,18,4,46,46,0,3,3
25/2/2020,95,16,34,4,54,54,0,25,25
26/2/2020,139,19,44,3,95,95,0,25,25
27/2/2020,245,26,106,7,165,165,0,54,54
28/2/2020,388,34,143,8,281,281,0,73,73
29/2/2020,593,43,205,9,427,427,0,123,123
1/3/2020,978,54,385,11,749,749,0,175,175
2/3/2020,1501,66,523,12,1144,1144,0,291,291
3/3/2020,2336,77,835,11,1824,1824,0,435,435
4/3/2020,2922,92,586,15,2278,2278,0,552,552
5/3/2020,3513,108,591,16,2666,2666,0,739,739
6/3/2020,4747,124,1234,16,3710,3710,0,913,913
7/3/2020,5823,145,1076,21,4009,4009,0,1669,1669
8/3/2020,6566,194,743,49,4238,4238,0,2134,2134
9/3/2020,7161,237,595,43,4530,4530,0,2394,2394
10/3/2020,8042,291,881,54,5020,5020,0,2731,2731
11/3/2020,9000,354,958,63,5687,5687,0,2959,2959
12/3/2020,10075,429,1075,75,6370,6370,0,3276,3276
13/3/2020,11364,514,1289,85,7321,7321,0,3529,3529
14/3/2020,12729,611,1365,97,7779,7779,0,4339,4339
15/3/2020,13938,724,1209,113,8624,8624,0,4590,4590
16/3/2020,14991,853,1053,129,9142,9142,0,4996,4996
17/3/2020,16169,988,1178,135,9792,9792,0,5389,5389
18/3/2020,17361,1135,1192,147,10516,10516,0,5710,5710
19/3/2020,18407,1284,1046,149,11144,11144,0,5979,5979
20/3/2020,19644,1433,1237,149,11466,11466,0,6745,6745
21/3/2020,20610,1556,966,123,11419,11419,0,7635,7635
22/3/2020,21638,1685,1028,129,12040,12040,0,7913,7913
23/3/2020,23049,1812,1411,127,12861,12861,0,8376,8376
24/3/2020,24811,1934,1762,122,13964,13964,0,8913,8913
25/3/2020,27017,2077,2206,143,15315,15315,0,9625,9625
26/3/2020,29406,2234,2389,157,16715,16715,0,10457,10457
27/3/2020,32332,2378,2926,144,18821,18821,0,11133,11133
28/3/2020,35408,2517,3076,139,21212,21212,0,11679,11679
29/3/2020,38309,2640,2901,123,23278,23278,0,12391,12391
30/3/2020,41495,2757,3186,117,24827,24827,0,13911,13911
31/3/2020,44605,2898,3110,141,27051,27051,0,14656,14656
1/4/2020,47593,3036,2988,138,29084,29084,0,15473,15473
2/4/2020,50468,3160,2875,124,30597,30597,0,16711,16711
3/4/2020,53183,3294,2715,134,31954,31954,0,17935,17935
4/4/2020,55743,3452,2560,158,32555,32555,0,19736,19736
5/4/2020,58226,3603,2483,151,32612,32612,0,22011,22011
6/4/2020,60500,3739,2274,136,32525,32525,0,24236,24236
7/4/2020,62589,3872,2089,133,31678,31678,0,27039,27039
8/4/2020,64586,3993,1997,121,30781,30781,0,29812,29812
9/4/2020,66220,4110,1634,117,29801,29801,0,32309,32309
10/4/2020,68192,4232,1972,122,28495,28495,0,35465,35465
