Date,Cases,Deaths,Daily cases,Daily deaths,Active,Recoveries
2/15/2020,0,0,,,0,0
2/16/2020,0,0,0,0,0,0
2/17/2020,0,0,0,0,0,0
2/18/2020,0,0,0,0,0,0
2/19/2020,0,0,0,0,0,0
2/20/2020,0,0,0,0,0,0
2/21/2020,0,0,0,0,0,0
2/22/2020,0,0,0,0,0,0
2/23/2020,0,0,0,0,0,0
2/24/2020,0,0,0,0,0,0
2/25/2020,0,0,0,0,0,0
2/26/2020,0,0,0,0,0,0
2/27/2020,0,0,0,0,0,0
2/28/2020,0,0,0,0,0,0
2/29/2020,0,0,0,0,0,0
3/1/2020,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0
3/4/2020,0,0,0,0,0,0
3/5/2020,1,0,1,0,1,0
3/6/2020,1,0,0,0,1,0
3/7/2020,1,0,0,0,1,0
3/8/2020,9,0,8,0,9,0
3/9/2020,9,0,0,0,9,0
3/10/2020,13,0,4,0,13,0
3/11/2020,22,0,9,0,22,0
3/12/2020,23,0,1,0,23,0
3/13/2020,23,0,0,0,23,0
3/14/2020,27,0,4,0,27,0
3/15/2020,35,0,8,0,35,0
3/16/2020,41,0,6,0,41,0
3/17/2020,50,0,9,0,50,0
3/18/2020,69,1,19,1,68,0
3/19/2020,87,1,18,0,86,0
3/20/2020,113,2,26,1,109,2
3/21/2020,117,2,4,0,113,2
3/22/2020,134,2,17,0,130,2
3/23/2020,158,2,24,0,154,2
3/24/2020,177,2,19,0,173,2
3/25/2020,201,2,24,0,197,2
3/26/2020,231,2,30,0,227,2
3/27/2020,263,2,32,0,258,3
3/28/2020,295,2,32,0,290,3
3/29/2020,314,2,19,0,309,3
3/30/2020,330,2,16,0,324,4
3/31/2020,347,2,17,0,341,4
4/1/2020,375,2,28,0,369,4
4/2/2020,396,2,21,0,388,6
4/3/2020,416,2,20,0,403,11
4/4/2020,435,2,19,0,420,13
4/5/2020,454,2,19,0,436,16
4/6/2020,467,2,13,0,447,18
4/7/2020,483,2,16,0,457,24
4/8/2020,502,3,19,1,470,29
4/9/2020,539,3,37,0,506,30
4/10/2020,558,3,19,0,513,42
4/11/2020,577,3,19,0,525,49
4/12/2020,595,3,18,0,536,56
4/13/2020,612,3,17,0,547,62
4/14/2020,618,3,6,0,549,66
4/15/2020,626,4,8,1,555,67
4/16/2020,642,4,16,0,564,74
4/17/2020,649,4,7,0,557,88
4/18/2020,655,4,6,0,554,97
4/19/2020,660,5,5,1,543,112
4/20/2020,662,6,2,1,532,124
4/21/2020,669,6,7,0,513,150
4/22/2020,681,6,12,0,495,180
4/23/2020,686,6,5,0,484,196
4/24/2020,687,6,1,0,465,216
4/25/2020,693,6,6,0,445,242
4/26/2020,695,6,2,0,425,264
4/27/2020,697,6,2,0,404,287
4/28/2020,705,6,8,0,393,306
4/29/2020,713,6,8,0,384,323
4/30/2020,719,6,6,0,375,338
5/1/2020,725,6,6,0,364,355
5/2/2020,733,6,8,0,355,372
5/3/2020,739,6,6,0,347,386
5/4/2020,742,6,3,0,337,399
5/5/2020,755,6,13,0,336,413
5/6/2020,761,6,6,0,327,428
5/7/2020,765,6,4,0,314,445
5/8/2020,773,6,8,0,306,461
5/9/2020,780,6,7,0,294,480
5/10/2020,792,6,12,0,285,501
5/11/2020,801,7,9,1,277,517
5/12/2020,804,7,3,0,277,520
5/13/2020,815,7,11,0,281,527
5/14/2020,830,8,15,1,287,535
5/15/2020,843,9,13,1,292,542
5/16/2020,853,10,10,1,292,551
5/17/2020,863,10,10,0,288,565
5/18/2020,866,10,3,0,281,575
5/19/2020,882,10,16,0,295,577
5/20/2020,897,10,15,0,305,582
5/21/2020,903,10,6,0,301,592
5/22/2020,911,10,8,0,301,600
5/23/2020,918,10,7,0,301,607
5/24/2020,930,10,12,0,300,620
5/25/2020,951,10,21,0,313,628
5/26/2020,956,10,5,0,312,634
5/27/2020,984,10,28,0,335,639
5/28/2020,1000,10,16,0,344,646
5/29/2020,1022,10,22,0,359,653
5/30/2020,1047,10,25,0,379,658
5/31/2020,1056,10,9,0,377,669
