Date,Cases,Deaths,Daily cases,Daily deaths,Active cases,Recoveries
2/15/2020,12,1,,,7,4
2/16/2020,12,1,0,0,7,4
2/17/2020,12,1,0,0,6,5
2/18/2020,12,1,0,0,4,7
2/19/2020,12,1,0,0,4,7
2/20/2020,12,1,0,0,4,7
2/21/2020,12,1,0,0,4,7
2/22/2020,12,1,0,0,1,10
2/23/2020,12,1,0,0,1,10
2/24/2020,12,1,0,0,0,11
2/25/2020,14,1,2,0,2,11
2/26/2020,18,2,4,1,5,11
2/27/2020,37,2,19,0,24,11
2/28/2020,55,2,18,0,42,11
2/29/2020,94,2,39,0,80,12
3/1/2020,121,2,27,0,107,12
3/2/2020,177,3,56,1,162,12
3/3/2020,197,4,20,1,181,12
3/4/2020,264,4,67,0,248,12
3/5/2020,390,7,126,3,371,12
3/6/2020,599,9,209,2,578,12
3/7/2020,868,16,269,7,840,12
3/8/2020,1104,19,236,3,1073,12
3/9/2020,1289,30,185,11,1247,12
3/10/2020,1627,33,338,3,1582,12
3/11/2020,2079,48,452,15,2019,12
3/12/2020,2619,61,540,13,2546,12
3/13/2020,3333,79,714,18,3242,12
3/14/2020,4094,91,761,12,3991,12
3/15/2020,4934,127,840,36,4795,12
3/16/2020,6034,148,1100,21,5874,12
3/17/2020,7031,175,997,27,6254,602
3/18/2020,8308,264,1277,89,7442,602
3/19/2020,9999,372,1691,108,8332,1295
3/20/2020,11468,450,1469,78,9431,1587
3/21/2020,13146,562,1678,112,10997,1587
3/22/2020,14563,674,1417,112,11689,2200
3/23/2020,18051,860,3488,186,14991,2200
3/24/2020,20275,1100,2224,240,15894,3281
3/25/2020,22937,1331,2662,231,17706,3900
3/26/2020,26501,1696,3564,365,19857,4948
3/27/2020,29963,1995,3462,299,22268,5700
3/28/2020,34154,2314,4191,319,26140,5700
3/29/2020,36516,2606,2362,292,26708,7202
3/30/2020,40493,3024,3977,418,29542,7927
3/31/2020,47380,3522,6887,498,34414,9444
4/1/2020,51798,4030,4418,508,36833,10935
4/2/2020,53721,5384,1923,1354,35909,12428
4/3/2020,58476,6503,4755,1119,37965,14008
4/4/2020,62353,7555,3877,1052,39360,15438
4/5/2020,64056,8072,1703,517,39801,16183
4/6/2020,67611,8904,3555,832,41457,17250
4/7/2020,71043,10320,3432,1416,41386,19337
4/8/2020,74569,10860,3526,540,42455,21254
4/9/2020,78464,12199,3895,1339,43059,23206
4/10/2020,82410,13185,3946,986,44293,24932
4/11/2020,85239,13819,2829,634,45029,26391
4/12/2020,86705,14380,1466,561,45139,27186
4/13/2020,89133,14954,2428,574,46461,27718
4/14/2020,94129,15715,4996,761,49609,28805
4/15/2020,96522,17152,2393,1437,48415,30955
4/16/2020,98922,17904,2400,752,48206,32812
4/17/2020,99290,18664,368,760,46206,34420
4/18/2020,101625,19305,2335,641,46337,35983
4/19/2020,102339,19700,714,395,46061,36578
4/20/2020,104203,20246,1864,546,46548,37409
4/21/2020,106626,20776,2423,530,46669,39181
4/22/2020,108287,21319,1661,543,46311,40657
4/23/2020,109789,21834,1502,515,45867,42088
4/24/2020,111400,22223,1611,389,45684,43493
4/25/2020,112797,22592,1397,369,45611,44594
4/26/2020,113216,22834,419,242,45479,44903
4/27/2020,116636,23270,3420,436,47853,45513
4/28/2020,118017,23637,1381,367,47494,46886
4/29/2020,119692,24063,1675,426,47401,48228
4/30/2020,120753,24352,1061,289,46925,49476
5/1/2020,121316,24570,563,218,46534,50212
5/2/2020,122056,24736,740,166,46758,50562
5/3/2020,122343,24871,287,135,46688,50784
5/4/2020,122880,25177,537,306,46332,51371
5/5/2020,123909,25507,1029,330,45666,52736
5/6/2020,127807,25785,3898,278,48050,53972
5/7/2020,128393,25963,586,178,47403,55027
5/8/2020,128991,26206,598,243,46943,55842
5/9/2020,129394,26286,403,80,43060,60048
5/10/2020,129589,26356,195,70,38913,64320
5/11/2020,130014,26619,425,263,36224,67171
5/12/2020,130673,26967,659,348,35270,68436
5/13/2020,131146,27050,473,83,33070,71026
5/14/2020,131726,27401,580,351,28153,76172
5/15/2020,132250,27505,524,104,26044,78701
5/16/2020,132597,27601,347,96,23827,81169
5/17/2020,132709,27747,112,146,23716,81246
5/18/2020,133168,27878,459,131,21683,83607
5/19/2020,133657,27997,489,119,21051,84609
5/20/2020,134046,28107,389,110,19389,86550
5/21/2020,134342,28190,296,83,17018,89134
5/22/2020,134708,28264,366,74,15557,90887
5/23/2020,134941,28307,233,43,14137,92497
5/24/2020,135048,28342,107,35,12471,94235
5/25/2020,135382,28407,334,65,11473,95502
5/26/2020,135639,28505,257,98,7832,99302
5/27/2020,135817,28571,178,66,7424,99822
5/28/2020,138915,28637,3098,66,9924,100354
5/29/2020,139471,28689,556,52,10077,100705
5/30/2020,141174,28746,1703,57,11585,100843
5/31/2020,141413,28777,239,31,11399,101237
6/1/2020,141728,28808,315,31,11055,101865
6/2/2020,142011,28915,283,107,10865,102231
6/3/2020,142341,28996,330,81,10615,102730
6/4/2020,143061,29040,720,44,10811,103210
6/5/2020,143634,29086,573,46,11037,103511
6/6/2020,144177,29117,543,31,11468,103592
6/7/2020,144499,29130,322,13,11331,104038
6/8/2020,144697,29184,198,54,11040,104473
6/9/2020,145075,29271,378,87,11029,104775
6/10/2020,145586,29294,511,23,11244,105048
6/11/2020,145985,29321,399,27,11277,105387
6/12/2020,146666,29349,681,28,11725,105592
6/13/2020,147160,29373,494,24,12112,105675
6/14/2020,147542,29382,382,9,12160,106000
6/15/2020,147685,29411,143,29,12046,106228
