Date,Cases,Deaths,Daily cases,Daily deaths,Active cases,Recoveries
2/15/2020,0,0,,,0,0
2/16/2020,0,0,0,0,0,0
2/17/2020,0,0,0,0,0,0
2/18/2020,0,0,0,0,0,0
2/19/2020,0,0,0,0,0,0
2/20/2020,0,0,0,0,0,0
2/21/2020,0,0,0,0,0,0
2/22/2020,0,0,0,0,0,0
2/23/2020,0,0,0,0,0,0
2/24/2020,0,0,0,0,0,0
2/25/2020,0,0,0,0,0,0
2/26/2020,1,0,1,0,1,0
2/27/2020,3,0,2,0,3,0
2/28/2020,4,0,1,0,4,0
2/29/2020,5,0,1,0,5,0
3/1/2020,7,0,2,0,7,0
3/2/2020,7,0,0,0,7,0
3/3/2020,8,0,1,0,8,0
3/4/2020,9,0,1,0,9,0
3/5/2020,32,0,23,0,32,0
3/6/2020,47,0,15,0,47,0
3/7/2020,69,0,22,0,69,0
3/8/2020,88,0,19,0,88,0
3/9/2020,88,0,0,0,88,0
3/10/2020,93,0,5,0,93,0
3/11/2020,103,0,10,0,103,0
3/12/2020,122,1,19,1,121,0
3/13/2020,198,1,76,0,190,7
3/14/2020,237,3,39,2,227,7
3/15/2020,344,4,107,1,333,7
3/16/2020,366,4,22,0,353,9
3/17/2020,402,5,36,1,366,31
3/18/2020,434,5,32,0,384,45
3/19/2020,482,6,48,1,410,66
3/20/2020,514,10,32,4,431,73
3/21/2020,550,13,36,3,453,84
3/22/2020,648,15,98,2,545,88
3/23/2020,722,17,74,2,607,98
3/24/2020,772,20,50,3,638,114
3/25/2020,868,22,96,2,660,186
3/26/2020,927,26,59,4,677,224
3/27/2020,1004,28,77,2,650,326
3/28/2020,1103,32,99,4,724,347
3/29/2020,1202,38,99,6,783,381
3/30/2020,1260,43,58,5,809,408
3/31/2020,1366,49,106,6,866,451
4/1/2020,1471,50,105,1,941,480
4/2/2020,1605,53,134,3,1039,513
4/3/2020,1677,59,72,6,1014,604
4/4/2020,1739,68,62,9,998,673
4/5/2020,1803,73,64,5,1014,716
4/6/2020,1824,79,21,6,952,793
4/7/2020,1904,81,80,2,963,860
4/8/2020,1958,83,54,2,948,927
4/9/2020,2032,86,74,3,931,1015
4/10/2020,2088,90,56,4,891,1107
4/11/2020,2163,93,75,3,909,1161
4/12/2020,2197,98,34,5,838,1261
4/13/2020,2229,99,32,1,778,1352
4/14/2020,2255,101,26,2,678,1476
4/15/2020,2278,102,23,1,636,1540
4/16/2020,2294,105,16,3,595,1594
4/17/2020,2312,108,18,3,550,1654
4/18/2020,2323,110,11,2,541,1672
4/19/2020,2323,110,0,0,468,1745
4/20/2020,2333,116,10,6,425,1792
4/21/2020,2495,121,162,5,512,1862
4/22/2020,2502,121,7,0,468,1913
4/23/2020,2559,125,57,4,452,1982
4/24/2020,2587,130,28,5,444,2013
4/25/2020,2604,130,17,0,431,2043
4/26/2020,2615,134,11,4,416,2065
4/27/2020,2633,136,18,2,413,2084
4/28/2020,2666,138,33,2,431,2097
4/29/2020,2676,139,10,1,426,2111
4/30/2020,2692,140,16,1,440,2112
5/1/2020,2714,140,22,0,460,2114
5/2/2020,2722,143,8,3,455,2124
5/3/2020,2728,144,6,1,308,2276
5/4/2020,2734,146,6,2,310,2278
5/5/2020,2744,146,10,0,265,2333
5/6/2020,2766,147,22,1,263,2356
5/7/2020,2782,148,16,1,264,2370
5/8/2020,2795,150,13,2,266,2379
5/9/2020,2815,151,20,1,269,2395
5/10/2020,2821,151,6,0,244,2426
5/11/2020,2831,151,10,0,244,2436
5/12/2020,2850,152,19,1,250,2448
5/13/2020,2867,155,17,3,244,2468
5/14/2020,2877,156,10,1,247,2474
5/15/2020,2919,160,42,4,279,2480
5/16/2020,2928,162,9,2,281,2485
5/17/2020,2944,163,16,1,287,2494
5/18/2020,2946,165,2,2,268,2513
5/19/2020,2950,165,4,0,258,2527
5/20/2020,2960,166,10,1,254,2540
5/21/2020,2963,168,3,2,236,2559
5/22/2020,2984,169,21,1,251,2564
5/23/2020,2987,171,3,2,245,2571
5/24/2020,2989,171,2,0,230,2588
5/25/2020,2993,172,4,1,221,2600
