Date,Cases,Deaths,Daily cases,Daily deaths,Active cases,Recoveries
15/2/2020,0,0,,,0,0
16/2/2020,0,0,0,0,0,0
17/2/2020,0,0,0,0,0,0
18/2/2020,0,0,0,0,0,0
19/2/2020,2,2,2,2,0,0
20/2/2020,5,2,3,0,3,0
21/2/2020,18,4,13,2,14,0
22/2/2020,29,6,11,2,23,0
23/2/2020,43,8,14,2,34,1
24/2/2020,61,12,18,4,46,3
25/2/2020,95,16,34,4,54,25
26/2/2020,139,19,44,3,95,25
27/2/2020,245,26,106,7,165,54
28/2/2020,388,34,143,8,281,73
29/2/2020,593,43,205,9,427,123
1/3/2020,978,54,385,11,749,175
2/3/2020,1501,66,523,12,1144,291
3/3/2020,2336,77,835,11,1824,435
4/3/2020,2922,92,586,15,2278,552
5/3/2020,3513,108,591,16,2666,739
6/3/2020,4747,124,1234,16,3710,913
7/3/2020,5823,145,1076,21,4009,1669
8/3/2020,6566,194,743,49,4238,2134
9/3/2020,7161,237,595,43,4530,2394
10/3/2020,8042,291,881,54,5020,2731
11/3/2020,9000,354,958,63,5687,2959
12/3/2020,10075,429,1075,75,6370,3276
13/3/2020,11364,514,1289,85,7321,3529
14/3/2020,12729,611,1365,97,7779,4339
15/3/2020,13938,724,1209,113,8624,4590
16/3/2020,14991,853,1053,129,9142,4996
17/3/2020,16169,988,1178,135,9792,5389
18/3/2020,17361,1135,1192,147,10516,5710
19/3/2020,18407,1284,1046,149,11144,5979
20/3/2020,19644,1433,1237,149,11466,6745
21/3/2020,20610,1556,966,123,11419,7635
22/3/2020,21638,1685,1028,129,12040,7913
23/3/2020,23049,1812,1411,127,12861,8376
24/3/2020,24811,1934,1762,122,13964,8913
25/3/2020,27017,2077,2206,143,15315,9625
26/3/2020,29406,2234,2389,157,16715,10457
27/3/2020,32332,2378,2926,144,18821,11133
28/3/2020,35408,2517,3076,139,21212,11679
29/3/2020,38309,2640,2901,123,23278,12391
30/3/2020,41495,2757,3186,117,24827,13911
31/3/2020,44605,2898,3110,141,27051,14656
1/4/2020,47593,3036,2988,138,29084,15473
