Date,Total cases,Total deaths,Daily cases,Daily deaths,Active cases (new),Active cases (old),Change,Total recoveries (old),Total recoveries (new)
15/2/2020,53,1,,,52,52,0,0,0
16/2/2020,59,1,6,0,58,58,0,0,0
17/2/2020,66,1,7,0,47,47,0,18,18
18/2/2020,74,1,8,0,53,53,0,20,20
19/2/2020,84,1,10,0,63,63,0,20,20
20/2/2020,94,1,10,0,73,73,0,20,20
21/2/2020,109,1,15,0,86,86,0,22,22
22/2/2020,134,1,25,0,111,111,0,22,22
23/2/2020,146,1,12,0,122,122,0,23,23
24/2/2020,159,1,13,0,135,135,0,23,23
25/2/2020,161,1,2,0,137,137,0,23,23
26/2/2020,172,3,11,2,146,146,0,23,23
27/2/2020,214,4,42,1,178,178,0,32,32
28/2/2020,233,5,19,1,196,196,0,32,32
29/2/2020,241,5,8,0,204,204,0,32,32
1/3/2020,256,6,15,1,208,208,0,42,42
2/3/2020,274,6,18,0,226,226,0,42,42
3/3/2020,293,6,19,0,244,244,0,43,43
4/3/2020,331,6,38,0,282,282,0,43,43
5/3/2020,364,6,33,0,315,315,0,43,43
6/3/2020,420,6,56,0,365,365,0,49,49
7/3/2020,461,6,41,0,379,379,0,76,76
8/3/2020,502,7,41,1,419,419,0,76,76
9/3/2020,530,9,28,2,437,437,0,84,84
10/3/2020,587,12,57,3,473,473,0,102,102
11/3/2020,639,15,52,3,506,506,0,118,118
12/3/2020,691,19,52,4,554,554,0,118,118
13/3/2020,734,21,43,2,595,595,0,118,118
14/3/2020,804,22,70,1,638,638,0,144,144
15/3/2020,833,24,29,2,665,665,0,144,144
16/3/2020,850,28,17,4,678,678,0,144,144
17/3/2020,878,29,28,1,705,705,0,144,144
18/3/2020,914,29,36,0,694,694,0,191,191
19/3/2020,943,33,29,4,719,719,0,191,191
20/3/2020,1007,35,64,2,757,757,0,215,215
21/3/2020,1054,36,47,1,803,803,0,215,215
22/3/2020,1101,41,47,5,825,825,0,235,235
23/3/2020,1128,42,27,1,851,851,0,235,235
24/3/2020,1193,43,65,1,865,865,0,285,285
25/3/2020,1307,45,114,2,952,952,0,310,310
26/3/2020,1387,47,80,2,981,981,0,359,359
27/3/2020,1499,49,112,2,1078,1078,0,372,372
28/3/2020,1693,52,194,3,1237,1237,0,404,404
29/3/2020,1866,54,173,2,1388,1388,0,424,424
30/3/2020,1953,56,87,2,1473,1473,0,424,424
31/3/2020,2179,57,226,1,1698,1698,0,424,424
1/4/2020,2385,57,206,0,1856,1856,0,472,472
2/4/2020,2619,63,234,6,2084,2084,0,472,472
3/4/2020,2938,69,319,6,2355,2355,0,514,514
4/4/2020,3142,77,204,8,2551,2551,0,514,514
5/4/2020,3658,85,516,8,2998,2998,0,575,575
6/4/2020,3911,92,253,7,3227,3227,0,592,592
7/4/2020,4263,93,352,1,3548,3548,0,622,622
8/4/2020,4674,94,411,1,3948,3948,0,632,632
9/4/2020,5356,99,682,5,4572,4572,0,685,685
10/4/2020,6016,99,660,0,5232,5232,0,685,685
11/4/2020,6761,108,745,9,5891,5891,0,762,762
