Date,Cases,Deaths,Daily cases,Daily deaths,Active cases,Recoveries
2/15/2020,0,0,,,0,0
2/16/2020,0,0,0,0,0,0
2/17/2020,0,0,0,0,0,0
2/18/2020,0,0,0,0,0,0
2/19/2020,0,0,0,0,0,0
2/20/2020,0,0,0,0,0,0
2/21/2020,0,0,0,0,0,0
2/22/2020,0,0,0,0,0,0
2/23/2020,0,0,0,0,0,0
2/24/2020,0,0,0,0,0,0
2/25/2020,0,0,0,0,0,0
2/26/2020,0,0,0,0,0,0
2/27/2020,0,0,0,0,0,0
2/28/2020,0,0,0,0,0,0
2/29/2020,0,0,0,0,0,0
3/1/2020,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0
3/4/2020,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0
3/6/2020,0,0,0,0,0,0
3/7/2020,0,0,0,0,0,0
3/8/2020,0,0,0,0,0,0
3/9/2020,0,0,0,0,0,0
3/10/2020,0,0,0,0,0,0
3/11/2020,0,0,0,0,0,0
3/12/2020,0,0,0,0,0,0
3/13/2020,0,0,0,0,0,0
3/14/2020,0,0,0,0,0,0
3/15/2020,0,0,0,0,0,0
3/16/2020,0,0,0,0,0,0
3/17/2020,0,0,0,0,0,0
3/18/2020,0,0,0,0,0,0
3/19/2020,0,0,0,0,0,0
3/20/2020,0,0,0,0,0,0
3/21/2020,0,0,0,0,0,0
3/22/2020,0,0,0,0,0,0
3/23/2020,0,0,0,0,0,0
3/24/2020,2,0,2,0,2,0
3/25/2020,3,0,1,0,3,0
3/26/2020,6,0,3,0,6,0
3/27/2020,6,0,0,0,6,0
3/28/2020,8,0,2,0,8,0
3/29/2020,8,0,0,0,8,0
3/30/2020,8,0,0,0,8,0
3/31/2020,9,0,1,0,9,0
4/1/2020,10,0,1,0,10,0
4/2/2020,10,0,0,0,10,0
4/3/2020,10,0,0,0,10,0
4/4/2020,10,0,0,0,10,0
4/5/2020,11,0,1,0,11,0
4/6/2020,12,0,1,0,12,0
4/7/2020,14,0,2,0,14,0
4/8/2020,15,0,1,0,15,0
4/9/2020,16,0,1,0,16,0
4/10/2020,16,0,0,0,16,0
4/11/2020,18,0,2,0,18,0
4/12/2020,19,0,1,0,19,0
4/13/2020,19,0,0,0,19,0
4/14/2020,19,0,0,0,18,1
4/15/2020,19,0,0,0,18,1
4/16/2020,19,0,0,0,17,2
4/17/2020,19,0,0,0,17,2
4/18/2020,19,0,0,0,17,2
4/19/2020,19,0,0,0,17,2
4/20/2020,19,0,0,0,17,2
4/21/2020,19,0,0,0,17,2
4/22/2020,19,0,0,0,15,4
4/23/2020,19,0,0,0,15,4
4/24/2020,19,0,0,0,15,4
4/25/2020,19,0,0,0,12,7
4/26/2020,19,0,0,0,12,7
4/27/2020,19,0,0,0,12,7
4/28/2020,19,0,0,0,12,7
4/29/2020,19,0,0,0,12,7
4/30/2020,19,0,0,0,11,8
5/1/2020,19,0,0,0,11,8
5/2/2020,19,0,0,0,10,9
5/3/2020,19,0,0,0,10,9
5/4/2020,19,0,0,0,10,9
5/5/2020,19,0,0,0,10,9
5/6/2020,19,0,0,0,10,9
5/7/2020,19,0,0,0,10,9
5/8/2020,19,0,0,0,10,9
5/9/2020,19,0,0,0,6,13
5/10/2020,19,0,0,0,6,13
5/11/2020,19,0,0,0,6,13
5/12/2020,19,0,0,0,6,13
5/13/2020,19,0,0,0,5,14
5/14/2020,19,0,0,0,5,14
5/15/2020,19,0,0,0,5,14
5/16/2020,19,0,0,0,5,14
5/17/2020,19,0,0,0,5,14
5/18/2020,19,0,0,0,5,14
5/19/2020,19,0,0,0,5,14
5/20/2020,19,0,0,0,5,14
5/21/2020,19,0,0,0,5,14
5/22/2020,19,0,0,0,5,14
5/23/2020,19,0,0,0,5,14
5/24/2020,19,0,0,0,5,14
5/25/2020,19,0,0,0,5,14
5/26/2020,19,0,0,0,5,14
5/27/2020,19,0,0,0,3,16
5/28/2020,19,0,0,0,3,16
5/29/2020,19,0,0,0,3,16
5/30/2020,19,0,0,0,3,16
5/31/2020,19,0,0,0,3,16
