Date,Cases,Deaths,Daily cases,Daily deaths,Active cases (new),Active cases (old),Change in active cases,Recoveries (old),Recoveries (new)
2020-02-15,0,0,,,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0
2020-03-04,1,0,1,0,1,1,0,0,0
2020-03-05,1,0,0,0,1,1,0,0,0
2020-03-06,5,0,4,0,5,5,0,0,0
2020-03-07,6,0,1,0,6,6,0,0,0
2020-03-08,11,0,5,0,11,11,0,0,0
2020-03-09,17,0,6,0,17,17,0,0,0
2020-03-10,22,0,5,0,22,22,0,0,0
2020-03-11,31,0,9,0,31,31,0,0,0
2020-03-12,51,1,20,1,50,50,0,0,0
2020-03-13,68,2,17,1,66,66,0,0,0
2020-03-14,104,3,36,1,100,100,0,1,1
2020-03-15,125,3,21,0,121,121,0,1,1
2020-03-16,177,4,52,1,172,172,0,1,1
2020-03-17,238,5,61,1,232,232,0,1,1
2020-03-18,287,5,49,0,281,281,0,1,1
2020-03-19,355,5,68,0,349,349,0,1,1
2020-03-20,425,5,70,0,419,419,0,1,1
2020-03-21,536,5,111,0,530,530,0,1,1
2020-03-22,634,7,98,2,626,626,0,1,1
2020-03-23,749,8,115,1,740,740,0,1,1
2020-03-24,901,10,152,2,890,890,0,1,1
