Date,Total cases,Total deaths,Daily cases,Daily deaths,Active cases,Recoveries
2/15/2020,16,0,,,9,7
2/16/2020,16,0,0,0,9,7
2/17/2020,16,0,0,0,9,7
2/18/2020,16,0,0,0,9,7
2/19/2020,16,0,0,0,2,14
2/20/2020,16,0,0,0,2,14
2/21/2020,16,0,0,0,1,15
2/22/2020,16,0,0,0,1,15
2/23/2020,16,0,0,0,1,15
2/24/2020,16,0,0,0,1,15
2/25/2020,16,0,0,0,0,16
2/26/2020,16,0,0,0,0,16
2/27/2020,16,0,0,0,0,16
2/28/2020,16,0,0,0,0,16
2/29/2020,16,0,0,0,0,16
3/1/2020,16,0,0,0,0,16
3/2/2020,16,0,0,0,0,16
3/3/2020,16,0,0,0,0,16
3/4/2020,16,0,0,0,0,16
3/5/2020,16,0,0,0,0,16
3/6/2020,17,0,1,0,1,16
3/7/2020,20,0,3,0,4,16
3/8/2020,31,0,11,0,14,17
3/9/2020,32,0,1,0,15,17
3/10/2020,35,0,3,0,18,17
3/11/2020,40,0,5,0,23,17
3/12/2020,45,0,5,0,28,17
3/13/2020,45,0,0,0,28,17
3/14/2020,54,0,9,0,37,17
3/15/2020,58,0,4,0,41,17
3/16/2020,62,0,4,0,45,17
3/17/2020,67,0,5,0,50,17
3/18/2020,78,0,11,0,60,18
3/19/2020,87,0,9,0,69,18
3/20/2020,93,0,6,0,74,19
3/21/2020,96,0,3,0,77,19
3/22/2020,119,0,23,0,96,23
3/23/2020,130,0,11,0,106,24
3/24/2020,142,0,12,0,117,25
3/25/2020,159,0,17,0,131,28
3/26/2020,164,0,5,0,133,31
3/27/2020,175,0,11,0,143,32
3/28/2020,187,0,12,0,153,34
3/29/2020,212,0,25,0,169,43
3/30/2020,223,0,11,0,149,74
3/31/2020,231,0,8,0,154,77
4/1/2020,237,0,6,0,155,82
4/2/2020,255,0,18,0,158,97
4/3/2020,261,0,6,0,154,107
4/4/2020,262,0,1,0,150,112
4/5/2020,263,0,1,0,151,112
4/6/2020,267,0,4,0,150,117
4/7/2020,273,0,6,0,128,145
4/8/2020,273,0,0,0,125,148
4/9/2020,277,0,4,0,127,150
4/10/2020,279,0,2,0,113,166
4/11/2020,280,0,1,0,114,166
4/12/2020,284,0,4,0,118,166
4/13/2020,287,0,3,0,119,168
4/14/2020,288,0,1,0,97,191
4/15/2020,290,0,2,0,97,193
4/16/2020,290,0,0,0,91,199
4/17/2020,290,0,0,0,70,220
4/18/2020,290,0,0,0,67,223
4/19/2020,290,0,0,0,66,224
4/20/2020,290,0,0,0,54,236
4/21/2020,290,0,0,0,52,238
4/22/2020,290,0,0,0,45,245
4/23/2020,290,0,0,0,44,246
4/24/2020,292,0,2,0,50,242
4/25/2020,292,0,0,0,45,247
4/26/2020,292,0,0,0,45,247
4/27/2020,292,0,0,0,45,247
4/28/2020,292,0,0,0,45,247
4/29/2020,292,0,0,0,48,244
4/30/2020,292,0,0,0,51,241
5/1/2020,292,0,0,0,51,241
5/2/2020,292,0,0,0,51,241
5/3/2020,293,0,1,0,52,241
5/4/2020,293,0,0,0,52,241
5/5/2020,293,0,0,0,39,254
5/6/2020,293,0,0,0,39,254
5/7/2020,313,0,20,0,55,258
5/8/2020,313,0,0,0,47,266
5/9/2020,313,0,0,0,47,266
5/10/2020,313,0,0,0,47,266
5/11/2020,313,0,0,0,39,274
5/12/2020,313,0,0,0,36,277
5/13/2020,313,0,0,0,36,277
5/14/2020,344,0,31,0,52,292
5/15/2020,346,0,2,0,54,292
5/16/2020,350,0,4,0,58,292
5/17/2020,352,0,2,0,60,292
5/18/2020,356,0,4,0,61,295
5/19/2020,356,0,0,0,61,295
5/20/2020,356,0,0,0,61,295
5/21/2020,356,0,0,0,60,296
5/22/2020,356,0,0,0,57,299
5/23/2020,356,0,0,0,57,299
5/24/2020,357,0,1,0,58,299
5/25/2020,358,0,1,0,54,304
5/26/2020,359,0,1,0,55,304
5/27/2020,359,0,0,0,49,310
5/28/2020,359,0,0,0,49,310
5/29/2020,359,0,0,0,48,311
5/30/2020,360,0,1,0,49,311
5/31/2020,360,0,0,0,49,311
6/1/2020,360,0,0,0,35,325
6/2/2020,360,0,0,0,30,330
6/3/2020,360,0,0,0,26,334
6/4/2020,360,0,0,0,26,334
6/5/2020,360,0,0,0,21,339
6/6/2020,361,0,1,0,22,339
6/7/2020,361,0,0,0,22,339
6/8/2020,364,0,3,0,16,348
6/9/2020,364,0,0,0,16,348
6/10/2020,364,0,0,0,12,352
6/11/2020,364,0,0,0,11,353
6/12/2020,365,0,1,0,10,355
6/13/2020,366,0,1,0,11,355
6/14/2020,366,0,0,0,11,355
6/15/2020,366,0,0,0,11,355
6/16/2020,366,0,0,0,9,357
6/17/2020,367,0,1,0,10,357
6/18/2020,374,0,7,0,17,357
6/19/2020,381,0,7,0,23,358
6/20/2020,381,0,0,0,22,359
6/21/2020,381,0,0,0,22,359
6/22/2020,381,0,0,0,21,360
6/23/2020,381,0,0,0,20,361
6/24/2020,384,0,3,0,23,361
6/25/2020,384,0,0,0,23,361
6/26/2020,385,0,1,0,23,362
6/27/2020,387,0,2,0,25,362
6/28/2020,387,0,0,0,25,362
6/29/2020,387,0,0,0,20,367
6/30/2020,387,0,0,0,20,367
7/1/2020,387,0,0,0,19,368
7/2/2020,387,0,0,0,15,372
7/3/2020,387,0,0,0,15,372
7/4/2020,387,0,0,0,15,372
7/5/2020,387,0,0,0,15,372
7/6/2020,404,0,17,0,28,376
7/7/2020,404,0,0,0,27,377
7/8/2020,404,0,0,0,22,382
7/9/2020,404,0,0,0,22,382
7/10/2020,404,0,0,0,19,385
7/11/2020,405,0,1,0,20,385
7/12/2020,407,0,2,0,22,385
7/13/2020,407,0,0,0,22,385
7/14/2020,408,0,1,0,21,387
7/15/2020,416,0,8,0,28,388
7/16/2020,416,0,0,0,25,391
7/17/2020,417,0,1,0,26,391
7/18/2020,417,0,0,0,25,392
7/19/2020,418,0,1,0,26,392
7/20/2020,419,0,1,0,24,395
7/21/2020,439,0,20,0,36,403
7/22/2020,446,0,7,0,43,403
7/23/2020,450,0,4,0,47,403
7/24/2020,451,0,1,0,48,403
7/25/2020,455,0,4,0,52,403
7/26/2020,458,0,3,0,55,403
7/27/2020,470,0,12,0,66,404
7/28/2020,488,0,18,0,77,411
7/29/2020,504,0,16,0,90,414
7/30/2020,578,0,74,0,140,438
7/31/2020,631,2,53,2,171,458
8/1/2020,697,3,66,1,214,480
8/2/2020,738,6,41,3,241,491
8/3/2020,784,6,46,0,272,506
8/4/2020,809,8,25,2,286,515
8/5/2020,877,8,68,0,328,541
8/6/2020,918,10,41,2,345,563
8/7/2020,981,10,63,0,384,587
8/8/2020,1011,10,30,0,407,594
8/9/2020,1051,11,40,1,435,605
8/10/2020,1057,15,6,4,433,609
8/11/2020,1080,16,23,1,451,613
8/12/2020,1100,17,20,1,457,626
8/13/2020,1139,21,39,4,465,653
8/14/2020,1162,22,23,1,471,669
8/15/2020,1188,23,26,1,481,684
8/16/2020,1200,24,12,1,482,694
8/17/2020,1226,24,26,0,492,710
8/18/2020,1232,25,6,1,438,769
8/19/2020,1237,25,5,0,436,776
8/20/2020,1253,25,16,0,440,788
8/21/2020,1255,25,2,0,439,791
8/22/2020,1260,26,5,1,425,809
8/23/2020,1262,27,2,1,426,809
8/24/2020,1268,27,6,0,408,833
8/25/2020,1275,27,7,0,410,838
